"prob.shore","prob.ship","prob.est","nstops","prob.surv","prob.det","prob.sdet","containers","shore","shorestop","rmshore","transfer","rmtrans","dieroute","establish"
0,0,0.5,1,0.8,0,0,100,0,0,0,0,0,30,0
0.1,0,0.5,1,0.8,0,0,100,5,5,0,0,0,12,3
0.2,0,0.5,1,0.8,0,0,100,14,14,0,0,0,21,8
0.3,0,0.5,1,0.8,0,0,100,25,25,0,0,0,22,11
0.4,0,0.5,1,0.8,0,0,100,28,28,0,0,0,29,15
0.5,0,0.5,1,0.8,0,0,100,49,49,0,0,0,18,18
0.6,0,0.5,1,0.8,0,0,100,46,46,0,0,0,23,20
0.7,0,0.5,1,0.8,0,0,100,54,54,0,0,0,21,23
0.8,0,0.5,1,0.8,0,0,100,56,56,0,0,0,24,24
0.9,0,0.5,1,0.8,0,0,100,73,73,0,0,0,18,38
1,0,0.5,1,0.8,0,0,100,79,79,0,0,0,21,41
0,0.1,0.5,1,0.8,0,0,100,0,8,0,8,0,19,5
0.1,0.1,0.5,1,0.8,0,0,100,10,14,0,4,0,22,6
0.2,0.1,0.5,1,0.8,0,0,100,14,21,0,7,0,22,9
0.3,0.1,0.5,1,0.8,0,0,100,22,28,0,6,0,23,19
0.4,0.1,0.5,1,0.8,0,0,100,26,31,0,5,0,17,17
0.5,0.1,0.5,1,0.8,0,0,100,50,55,0,5,0,15,28
0.6,0.1,0.5,1,0.8,0,0,100,52,55,0,3,0,20,31
0.7,0.1,0.5,1,0.8,0,0,100,63,64,0,1,0,18,32
0.8,0.1,0.5,1,0.8,0,0,100,63,63,0,0,0,18,35
0.9,0.1,0.5,1,0.8,0,0,100,70,71,0,1,0,24,32
1,0.1,0.5,1,0.8,0,0,100,78,78,0,0,0,22,43
0,0.2,0.5,1,0.8,0,0,100,0,9,0,9,0,21,3
0.1,0.2,0.5,1,0.8,0,0,100,4,23,0,19,0,19,10
0.2,0.2,0.5,1,0.8,0,0,100,15,32,0,17,0,20,12
0.3,0.2,0.5,1,0.8,0,0,100,22,35,0,13,0,22,16
0.4,0.2,0.5,1,0.8,0,0,100,41,54,0,13,0,16,30
0.5,0.2,0.5,1,0.8,0,0,100,37,47,0,10,0,20,20
0.6,0.2,0.5,1,0.8,0,0,100,54,62,0,8,0,17,29
0.7,0.2,0.5,1,0.8,0,0,100,59,64,0,5,0,17,30
0.8,0.2,0.5,1,0.8,0,0,100,63,67,0,4,0,24,38
0.9,0.2,0.5,1,0.8,0,0,100,72,77,0,5,0,13,31
1,0.2,0.5,1,0.8,0,0,100,79,79,0,0,0,21,43
0,0.3,0.5,1,0.8,0,0,100,0,19,0,19,0,22,7
0.1,0.3,0.5,1,0.8,0,0,100,10,28,0,18,0,18,11
0.2,0.3,0.5,1,0.8,0,0,100,14,35,0,21,0,19,18
0.3,0.3,0.5,1,0.8,0,0,100,21,35,0,14,0,22,24
0.4,0.3,0.5,1,0.8,0,0,100,38,55,0,17,0,13,21
0.5,0.3,0.5,1,0.8,0,0,100,42,51,0,9,0,12,25
0.6,0.3,0.5,1,0.8,0,0,100,52,60,0,8,0,25,26
0.7,0.3,0.5,1,0.8,0,0,100,49,57,0,8,0,26,31
0.8,0.3,0.5,1,0.8,0,0,100,67,69,0,2,0,21,34
0.9,0.3,0.5,1,0.8,0,0,100,66,69,0,3,0,23,37
1,0.3,0.5,1,0.8,0,0,100,79,79,0,0,0,21,35
0,0.4,0.5,1,0.8,0,0,100,0,40,0,40,0,11,18
0.1,0.4,0.5,1,0.8,0,0,100,11,38,0,27,0,18,21
0.2,0.4,0.5,1,0.8,0,0,100,22,53,0,31,0,23,28
0.3,0.4,0.5,1,0.8,0,0,100,32,55,0,23,0,12,26
0.4,0.4,0.5,1,0.8,0,0,100,30,54,0,24,0,20,32
0.5,0.4,0.5,1,0.8,0,0,100,39,59,0,20,0,15,34
0.6,0.4,0.5,1,0.8,0,0,100,45,62,0,17,0,15,34
0.7,0.4,0.5,1,0.8,0,0,100,62,70,0,8,0,15,35
0.8,0.4,0.5,1,0.8,0,0,100,66,75,0,9,0,19,43
0.9,0.4,0.5,1,0.8,0,0,100,67,73,0,6,0,22,31
1,0.4,0.5,1,0.8,0,0,100,88,88,0,0,0,12,47
0,0.5,0.5,1,0.8,0,0,100,0,40,0,40,0,17,13
0.1,0.5,0.5,1,0.8,0,0,100,7,38,0,31,0,24,18
0.2,0.5,0.5,1,0.8,0,0,100,14,50,0,36,0,21,22
0.3,0.5,0.5,1,0.8,0,0,100,22,53,0,31,0,20,21
0.4,0.5,0.5,1,0.8,0,0,100,22,50,0,28,0,17,22
0.5,0.5,0.5,1,0.8,0,0,100,40,58,0,18,0,19,30
0.6,0.5,0.5,1,0.8,0,0,100,45,64,0,19,0,20,34
0.7,0.5,0.5,1,0.8,0,0,100,60,73,0,13,0,14,40
0.8,0.5,0.5,1,0.8,0,0,100,63,67,0,4,0,27,33
0.9,0.5,0.5,1,0.8,0,0,100,73,77,0,4,0,14,39
1,0.5,0.5,1,0.8,0,0,100,76,76,0,0,0,24,49
0,0.6,0.5,1,0.8,0,0,100,0,46,0,46,0,17,25
0.1,0.6,0.5,1,0.8,0,0,100,8,49,0,41,0,18,26
0.2,0.6,0.5,1,0.8,0,0,100,17,56,0,39,0,23,28
