"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.5,1,0.5,1,0.9,0,0,100,52,0.92,0.272659924344291,0,0,0,40,0.4,0.492365963917331,0,0,0,8,0.08,0.272659924344291,44,0.44,0.498887651569859
0.5,1,0.5,2,0.9,0,0,100,50,0.92,0.272659924344291,0,0,0,42,0.42,0.496044963748858,0,0,0,8,0.08,0.272659924344291,44,0.44,0.498887651569859
0.5,1,0.5,3,0.9,0,0,100,42,0.86,0.348735088019777,0,0,0,44,0.44,0.498887651569859,0,0,0,14,0.14,0.348735088019777,44,0.44,0.498887651569859
0.5,1,0.5,4,0.9,0,0,100,51,0.97,0.171446607997765,0,0,0,46,0.46,0.500908265962033,0,0,0,3,0.03,0.171446607997765,46,0.46,0.500908265962033
0.5,1,0.5,5,0.9,0,0,100,43,0.91,0.287623491264661,0,0,0,48,0.48,0.502116731568678,0,0,0,9,0.09,0.287623491264661,35,0.35,0.479372485441102
0.5,1,0.5,6,0.9,0,0,100,45,0.94,0.238683256575942,0,0,0,49,0.49,0.502418393795691,0,0,0,6,0.06,0.238683256575942,45,0.45,0.5
0.5,1,0.5,7,0.9,0,0,100,42,0.89,0.31446603773522,0,0,0,47,0.47,0.501613558046592,0,0,0,11,0.11,0.31446603773522,44,0.44,0.498887651569859
0.5,1,0.5,8,0.9,0,0,100,45,0.87,0.337997668989631,0,0,0,42,0.42,0.496044963748858,0,0,0,13,0.13,0.337997668989631,49,0.49,0.502418393795691
0.5,1,0.5,9,0.9,0,0,100,39,0.85,0.358870281282637,0,0,0,46,0.46,0.500908265962033,0,0,0,15,0.15,0.358870281282637,51,0.51,0.502418393795691
0.5,1,0.5,10,0.9,0,0,100,46,0.9,0.301511344577764,0,0,0,44,0.44,0.498887651569859,0,0,0,10,0.1,0.301511344577764,46,0.46,0.500908265962033
0.5,1,0.5,1,0.9,0.2,0,100,48,0.92,0.272659924344291,8,0.08,0.272659924344291,44,0.44,0.498887651569859,0,0,0,8,0.08,0.272659924344291,35,0.35,0.479372485441102
0.5,1,0.5,2,0.9,0.2,0,100,46,0.9,0.301511344577764,9,0.09,0.287623491264661,44,0.44,0.498887651569859,0,0,0,10,0.1,0.301511344577764,43,0.43,0.497569851956243
0.5,1,0.5,3,0.9,0.2,0,100,47,0.87,0.337997668989631,11,0.11,0.31446603773522,40,0.4,0.492365963917331,0,0,0,13,0.13,0.337997668989631,31,0.31,0.464823198711732
0.5,1,0.5,4,0.9,0.2,0,100,48,0.87,0.337997668989631,15,0.15,0.358870281282637,39,0.39,0.490207130000197,0,0,0,13,0.13,0.337997668989631,39,0.39,0.490207130000197
0.5,1,0.5,5,0.9,0.2,0,100,47,0.9,0.301511344577764,10,0.1,0.301511344577764,43,0.43,0.497569851956243,0,0,0,10,0.1,0.301511344577764,43,0.43,0.497569851956243
0.5,1,0.5,6,0.9,0.2,0,100,33,0.89,0.31446603773522,10,0.1,0.301511344577764,56,0.56,0.498887651569859,0,0,0,11,0.11,0.31446603773522,39,0.39,0.490207130000197
0.5,1,0.5,7,0.9,0.2,0,100,42,0.94,0.238683256575942,9,0.09,0.287623491264661,52,0.52,0.502116731568678,0,0,0,6,0.06,0.238683256575942,44,0.44,0.498887651569859
0.5,1,0.5,8,0.9,0.2,0,100,47,0.89,0.31446603773522,11,0.11,0.31446603773522,42,0.42,0.496044963748858,0,0,0,11,0.11,0.31446603773522,37,0.37,0.48523658709391
0.5,1,0.5,9,0.9,0.2,0,100,52,0.89,0.31446603773522,6,0.06,0.238683256575942,37,0.37,0.48523658709391,0,0,0,11,0.11,0.31446603773522,51,0.51,0.502418393795691
0.5,1,0.5,10,0.9,0.2,0,100,45,0.89,0.31446603773522,9,0.09,0.287623491264661,44,0.44,0.498887651569859,0,0,0,11,0.11,0.31446603773522,39,0.39,0.490207130000197
0.5,1,0.5,1,0.9,0.4,0,100,49,0.88,0.32659863237109,23,0.23,0.422952584681651,39,0.39,0.490207130000197,0,0,0,12,0.12,0.32659863237109,34,0.34,0.476095228569523
0.5,1,0.5,2,0.9,0.4,0,100,38,0.89,0.31446603773522,14,0.14,0.348735088019777,51,0.51,0.502418393795691,0,0,0,11,0.11,0.31446603773522,41,0.41,0.49431107042371
0.5,1,0.5,3,0.9,0.4,0,100,43,0.92,0.272659924344291,19,0.19,0.394277244403663,49,0.49,0.502418393795691,0,0,0,8,0.08,0.272659924344291,32,0.32,0.468826172262151
0.5,1,0.5,4,0.9,0.4,0,100,39,0.87,0.337997668989631,16,0.16,0.368452949177471,48,0.48,0.502116731568678,0,0,0,13,0.13,0.337997668989631,34,0.34,0.476095228569523
0.5,1,0.5,5,0.9,0.4,0,100,52,0.96,0.196946385566932,22,0.22,0.416333199893227,44,0.44,0.498887651569859,0,0,0,4,0.04,0.196946385566932,35,0.35,0.479372485441102
0.5,1,0.5,6,0.9,0.4,0,100,41,0.87,0.337997668989631,20,0.2,0.402015126103685,46,0.46,0.500908265962033,0,0,0,13,0.13,0.337997668989631,22,0.22,0.416333199893227
0.5,1,0.5,7,0.9,0.4,0,100,38,0.82,0.386122919665369,20,0.2,0.402015126103685,44,0.44,0.498887651569859,0,0,0,18,0.18,0.386122919665369,26,0.26,0.440844002276808
0.5,1,0.5,8,0.9,0.4,0,100,42,0.84,0.368452949177471,19,0.19,0.394277244403663,42,0.42,0.496044963748858,0,0,0,16,0.16,0.368452949177471,38,0.38,0.487831731214563
0.5,1,0.5,9,0.9,0.4,0,100,47,0.87,0.337997668989631,22,0.22,0.416333199893227,40,0.4,0.492365963917331,0,0,0,13,0.13,0.337997668989631,31,0.31,0.464823198711732
0.5,1,0.5,10,0.9,0.4,0,100,48,0.95,0.21904291355759,27,0.27,0.446196043338474,47,0.47,0.501613558046592,0,0,0,5,0.05,0.21904291355759,31,0.31,0.464823198711732
0.5,1,0.5,1,0.9,0.6,0,100,39,0.89,0.31446603773522,29,0.29,0.456048021572069,50,0.5,0.502518907629606,0,0,0,11,0.11,0.31446603773522,29,0.29,0.456048021572069
0.5,1,0.5,2,0.9,0.6,0,100,49,0.9,0.301511344577764,26,0.26,0.440844002276808,41,0.41,0.49431107042371,0,0,0,10,0.1,0.301511344577764,29,0.29,0.456048021572069
0.5,1,0.5,3,0.9,0.6,0,100,45,0.91,0.287623491264661,28,0.28,0.451260859854213,46,0.46,0.500908265962033,0,0,0,9,0.09,0.287623491264661,32,0.32,0.468826172262151
0.5,1,0.5,4,0.9,0.6,0,100,45,0.86,0.348735088019777,24,0.24,0.429234695990928,41,0.41,0.49431107042371,0,0,0,14,0.14,0.348735088019777,24,0.24,0.429234695990928
0.5,1,0.5,5,0.9,0.6,0,100,37,0.87,0.337997668989631,29,0.29,0.456048021572069,50,0.5,0.502518907629606,0,0,0,13,0.13,0.337997668989631,32,0.32,0.468826172262151
0.5,1,0.5,6,0.9,0.6,0,100,40,0.88,0.32659863237109,27,0.27,0.446196043338474,48,0.48,0.502116731568678,0,0,0,12,0.12,0.32659863237109,26,0.26,0.440844002276808
0.5,1,0.5,7,0.9,0.6,0,100,41,0.91,0.287623491264661,21,0.21,0.409360180740332,50,0.5,0.502518907629606,0,0,0,9,0.09,0.287623491264661,28,0.28,0.451260859854213
0.5,1,0.5,8,0.9,0.6,0,100,53,0.9,0.301511344577764,33,0.33,0.472581562625261,37,0.37,0.48523658709391,0,0,0,10,0.1,0.301511344577764,22,0.22,0.416333199893227
0.5,1,0.5,9,0.9,0.6,0,100,47,0.86,0.348735088019777,27,0.27,0.446196043338474,39,0.39,0.490207130000197,0,0,0,14,0.14,0.348735088019777,31,0.31,0.464823198711732
0.5,1,0.5,10,0.9,0.6,0,100,42,0.92,0.272659924344291,26,0.26,0.440844002276808,50,0.5,0.502518907629606,0,0,0,8,0.08,0.272659924344291,33,0.33,0.472581562625261
0.5,1,0.5,1,0.9,0.8,0,100,46,0.92,0.272659924344291,37,0.37,0.48523658709391,46,0.46,0.500908265962033,0,0,0,8,0.08,0.272659924344291,28,0.28,0.451260859854213
0.5,1,0.5,2,0.9,0.8,0,100,40,0.89,0.31446603773522,29,0.29,0.456048021572069,49,0.49,0.502418393795691,0,0,0,11,0.11,0.31446603773522,30,0.3,0.460566186471838
0.5,1,0.5,3,0.9,0.8,0,100,42,0.9,0.301511344577764,33,0.33,0.472581562625261,48,0.48,0.502116731568678,0,0,0,10,0.1,0.301511344577764,32,0.32,0.468826172262151
