"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0,0,0.9,1,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,1,0.9,0,0,100,12,0.12,0.32659863237109,0,0,0,0,0,0,0,0,0,100,1,0,9,0.0900000000000001,0.287623491264661
0.2,0,0.9,1,0.9,0,0,100,15,0.15,0.358870281282637,0,0,0,0,0,0,0,0,0,100,1,0,12,0.12,0.32659863237109
0.3,0,0.9,1,0.9,0,0,100,28,0.28,0.451260859854213,0,0,0,0,0,0,0,0,0,100,1,0,19,0.19,0.394277244403663
0.4,0,0.9,1,0.9,0,0,100,40,0.4,0.492365963917331,0,0,0,0,0,0,0,0,0,100,1,0,31,0.31,0.464823198711732
0.5,0,0.9,1,0.9,0,0,100,41,0.41,0.49431107042371,0,0,0,0,0,0,0,0,0,100,1,0,31,0.31,0.464823198711732
0.6,0,0.9,1,0.9,0,0,100,54,0.540000000000001,0.500908265962034,0,0,0,0,0,0,0,0,0,100,1,0,39,0.39,0.490207130000197
0.7,0,0.9,1,0.9,0,0,100,73,0.73,0.446196043338474,0,0,0,0,0,0,0,0,0,100,1,0,55,0.55,0.5
0.8,0,0.9,1,0.9,0,0,100,72,0.72,0.451260859854212,0,0,0,0,0,0,0,0,0,100,1,0,57,0.57,0.497569851956242
0.9,0,0.9,1,0.9,0,0,100,80,0.8,0.402015126103686,0,0,0,0,0,0,0,0,0,100,1,0,57,0.57,0.497569851956243
1,0,0.9,1,0.9,0,0,100,86,0.86,0.348735088019778,0,0,0,0,0,0,0,0,0,100,1,0,74,0.74,0.440844002276808
0,0,0.9,2,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,2,0.9,0,0,100,11,0.18,0.538985204347068,0,0,0,0,0,0,0,0,0,114,1.14,0.348735088019777,9,0.0900000000000001,0.287623491264661
0.2,0,0.9,2,0.9,0,0,100,25,0.38,0.707535200966044,0,0,0,0,0,0,0,0,0,106,1.06,0.238683256575942,19,0.19,0.394277244403663
0.3,0,0.9,2,0.9,0,0,100,42,0.540000000000001,0.70237691685685,0,0,0,0,0,0,0,0,0,107,1.07,0.256432399976243,38,0.38,0.487831731214563
0.4,0,0.9,2,0.9,0,0,100,59,0.830000000000001,0.792069275615294,0,0,0,0,0,0,0,0,0,107,1.07,0.256432399976243,42,0.42,0.496044963748858
0.5,0,0.9,2,0.9,0,0,100,64,0.849999999999999,0.74366007223079,0,0,0,0,0,0,0,0,0,109,1.09,0.287623491264662,48,0.48,0.502116731568678
0.6,0,0.9,2,0.9,0,0,100,72,0.900000000000001,0.674199862463243,0,0,0,0,0,0,0,0,0,108,1.08,0.272659924344291,57,0.57,0.497569851956243
