"From","To","freq"
"12_Mile_Anch","Houston",4
"12_Mile_Anch","New_Orleans",1
"9_Mile_Anch","New_Orleans",8
"Abidjan","Tangier_Mediterranee",1
"Acajutla","Taboguilla_Is_Anch",2
"Algeciras","Antwerp",2
"Algeciras","Cagliari",2
"Algeciras","Charleston",2
"Algeciras","Damietta",1
"Algeciras","Djibouti",2
"Algeciras","Gibraltar",7
"Algeciras","Jebel_Ali",7
"Algeciras","Lisbon",1
"Algeciras","New_York",45
"Algeciras","Philadelphia",1
"Algeciras","Port_Said",17
"Altamira","Altamira",5
"Altamira","CartagenaCOL",1
"Altamira","Caucedo",19
"Altamira","Cristobal",17
"Altamira","Houston",469
"Altamira","KingstonJAM",48
"Altamira","Mobile",38
"Altamira","Puerto_Cortes",6
"Altamira","Santo_Tomas_de_Castilla",17
"Altamira","Veracruz",166
"Andres","Caucedo",3
"Antwerp","Antwerp",1
"Antwerp","Baltimore",6
"Antwerp","Bremerhaven",104
"Antwerp","Charleston",1
"Antwerp","Felixstowe",47
"Antwerp","Hamburg",1
"Antwerp","Le_Havre",10
"Antwerp","New_York",1
"Antwerp","Rotterdam",53
"Antwerp","Sheerness",2
"Antwerp","Thamesport",82
"Antwerp","Tilbury",2
"Aqaba","Algeciras",17
"Aqaba","Marsaxlokk",2
"Aqaba","Port_Said",41
"Aqaba","Tangier_Mediterranee",1
"Aruba_Anch","Oranjestad",1
"Bahrain","Jebel_Ali",1
"Balboa","CartagenaCOL",2
"Balboa","Coco_Solo",20
"Balboa","Cristobal",3
"Balboa","Houston",2
"Balboa","Puerto_Cortes",3
"Balboa","Puerto_Limon",2
"Balboa","Taboguilla_Is_Anch",1
"Baltimore","Altamira",13
"Baltimore","Baltimore",3
"Baltimore","Charleston",3
"Baltimore","Veracruz",74
"Barbados","Puerto_Limon",1
"Barcelona","Bremerhaven",1
"Barcelona","FreeportBHS",2
"Barcelona","Gioia_Tauro",37
"Barcelona","Sines",4
"Barcelona","Valencia",203
"Barranquilla","CartagenaCOL",2
"Barranquilla","Coco_Solo",33
"Barranquilla","Cristobal",46
"Barranquilla","Santa_Marta",38
"Beaumont","Lake_Charles",1
"Beilun","Shanghai",2
"Beilun","Xiamen",38
"Beilun","Yantian",2
"Beilun","Zhoushan",2
"Belle_Chasse","New_Orleans",2
"Berbera","Fujairah_Anch",1
"Boothville","Charleston",2
"Boothville","Houston",4
"Boothville","New_Orleans",45
"Botany_Bay","Melbourne",2
"Bremen","Antwerp",2
"Bremerhaven","Altamira",11
"Bremerhaven","Antwerp",11
"Bremerhaven","Baltimore",95
"Bremerhaven","Bremen",2
"Bremerhaven","Bremerhaven",17
"Bremerhaven","Charleston",149
"Bremerhaven","Felixstowe",19
"Bremerhaven","Halifax",3
"Bremerhaven","Hamburg",5
"Bremerhaven","Houston",1
"Bremerhaven","Le_Havre",120
"Bremerhaven","New_York",125
"Bremerhaven","Nordenham",4
"Bremerhaven","Rotterdam",4
"Bremerhaven","Veracruz",6
"Brisbane","Beilun",2
"Buenaventura","Balboa",3
"Buenaventura","Callao",1
"Buenos_Aires","La_Plata_Anch",1
"Buenos_Aires","Montevideo",68
"Buenos_Aires","Montevideo_Alpha_Zone",7
"Buenos_Aires","Navegantes",3
"Busan","Balboa",35
"Busan","Coco_Solo",24
"Busan","Houston",2
"Busan","ManzanilloMEX",6
"Busan","Ningbo",1
"Busan","Shanghai",22
"Busan","Taboguilla_Is_Anch",21
"Busan","Vostochnyy",5
"Busan","Yangshan",1
"Cagliari","Genoa",3
"Cagliari","Hamburg",4
"Cagliari","Jebel_Ali",1
"Cagliari","Leghorn",94
"Cagliari","Malta",1
"Callao","Buenaventura",1
"Callao","Guayaquil",1
"Callao","Mazatlan",1
"Cap_Haitien","Cap_Haitien",1
"Cap_Haitien","Port_Everglades",3
"CartagenaCOL","Altamira",3
"CartagenaCOL","Barranquilla",103
"CartagenaCOL","CartagenaCOL",2
"CartagenaCOL","Caucedo",48
"CartagenaCOL","Coco_Solo",2
"CartagenaCOL","Cristobal",25
"CartagenaCOL","FreeportBHS",2
"CartagenaCOL","Guaranao_Bay",1
"CartagenaCOL","Houston",2
"CartagenaCOL","KingstonJAM",28
"CartagenaCOL","La_Guaira",41
"CartagenaCOL","Mamonal",2
"CartagenaCOL","Mobile",16
"CartagenaCOL","Puerto_BolivarCOL",1
"CartagenaCOL","Puerto_Cabello",49
"CartagenaCOL","Puerto_Cabello_Anch",44
"CartagenaCOL","Puerto_Limon",3
"CartagenaCOL","Rotterdam",1
"CartagenaCOL","San_JuanPRI",1
"CartagenaCOL","Santa_Marta",11
"CartagenaCOL","Santo_Tomas_de_Castilla",1
"CartagenaCOL","Suape",7
"CartagenaCOL","Veracruz",31
"CartagenaCOL","Vostochnyy",7
"Castries","Grenada",2
"Caucedo","Altamira",19
"Caucedo","Andres",3
"Caucedo","Antwerp",2
"Caucedo","FreeportBHS",26
"Caucedo","Houston",5
"Caucedo","KingstonJAM",63
"Caucedo","Mobile",9
"Caucedo","New_Orleans",3
"Caucedo","NorfolkUSA",3
"Caucedo","Puerto_Cabello",5
"Caucedo","Puerto_Plata",3
"Caucedo","San_JuanPRI",15
"Caucedo","Santo_Domingo",3
"Caucedo","Santos",6
"Caucedo","Suape",3
"Caucedo","Veracruz",79
"Caucedo","Vitoria",13
"Chaguaramas","Pecem",3
"Charleston","Antwerp",22
"Charleston","CartagenaCOL",1
"Charleston","Coco_Solo",1
"Charleston","FreeportBHS",6
"Charleston","Houston",5
"Charleston","Jeddah",2
"Charleston","Jinhae",1
"Charleston","KingstonJAM",2
"Charleston","Le_Havre",21
"Charleston","Miami",101
"Charleston","New_York",2
"Charleston","Puerto_Cortes",3
"Charleston","Rotterdam",2
"Charleston","Santa_Marta",2
"Charleston","Savannah",180
"Charleston","Thamesport",62
"Charleston","Valencia",2
"Charleston","Veracruz",9
"Charleston","Vostochnyy",4
"China","Hong_Kong",2
"Chiwan","Mawan",2
"Coco_Solo","Busan",1
"Coco_Solo","CartagenaCOL",145
"Coco_Solo","Caucedo",5
"Coco_Solo","Charleston",5
"Coco_Solo","Coco_Solo",2
"Coco_Solo","Cristobal",1
"Coco_Solo","Cumana",2
"Coco_Solo","Curacao",1
"Coco_Solo","Houston",95
"Coco_Solo","La_Guaira",2
"Coco_Solo","Mobile",1
"Coco_Solo","Puerto_Barrios",1
"Coco_Solo","Puerto_Cortes",23
"Coco_Solo","Puerto_Limon",128
"Coco_Solo","Santo_Tomas_de_Castilla",1
"Coco_Solo","Tangier_Mediterranee",1
"Coco_Solo","Vostochnyy",4
"Colombo","Aqaba",1
"Colombo","Jeddah",6
"Colombo","Salalah",34
"Colombo_Roads","Colombo",1
"Cotonou","Tangier_Mediterranee",1
"Cristobal","Altamira",12
"Cristobal","Barcelona",8
"Cristobal","CartagenaCOL",61
"Cristobal","Cristobal",17
"Cristobal","FreeportBHS",1
"Cristobal","Houston",3
"Cristobal","KingstonJAM",11
"Cristobal","Mobile",21
"Cristobal","Puerto_Cabello_Anch",4
"Cristobal","Puerto_Cortes",5
"Cristobal","Puerto_Limon",84
"Cristobal","Puerto_Plata",1
"Cristobal","Rio_Haina",3
"Cristobal","San_JuanPRI",1
"Cristobal","Santa_Marta",1
"Cristobal","Veracruz",11
"Cumana","Manaus",2
"Curacao","La_Guaira",1
"Curacao","Puerto_Cabello",1
"Curacao","Puerto_Cabello_Anch",2
"Dakar","Lome",1
"Dakar","Monrovia",2
"Damietta","Marsaxlokk",1
"Damietta","Salalah",1
"Djibouti","Aqaba",1
"Djibouti","Jebel_Ali",11
"Djibouti","Karachi",1
"Djibouti","Salalah",3
"Douala","Houston",1
"Dubai","Mawan",2
"Durban","Pointe_NoireCOG",1
"Durban","Singapore",1
"El_Guamache","Cristobal",1
"Everingen","Algeciras",1
"Felixstowe","Antwerp",2
"Felixstowe","Bremerhaven",168
"Felixstowe","Hamburg",1
"Felixstowe","Harwich",9
"Felixstowe","Le_Havre",16
"Felixstowe","New_York",12
"Felixstowe","Rotterdam",5
"Flushing","Hamburg",1
"Fort_Lauderdale","FreeportBHS",9
"Fort_Lauderdale","Gulfport",5
"Fort_Lauderdale","Port_Everglades",22
"Fort_Lauderdale","Rio_Haina",2
"Fort_Lauderdale","Santo_Tomas_de_Castilla",8
"Fraser_River_Port","Oakland",1
"FreeportBHS","Altamira",50
"FreeportBHS","Barcelona",3
"FreeportBHS","Caucedo",4
"FreeportBHS","FreeportBHS",1
"FreeportBHS","Houston",25
"FreeportBHS","KingstonJAM",4
"FreeportBHS","Miami",6
"FreeportBHS","Mobile",53
"FreeportBHS","Montreal",12
"FreeportBHS","New_Orleans",8
"FreeportBHS","Port_au_Prince",2
"FreeportBHS","Port_Everglades",76
"FreeportBHS","Santo_Tomas_de_Castilla",1
"FreeportBHS","Veracruz",83
"FreeportTexas","New_Orleans",6
"FreeportTexas","Puerto_Barrios",6
"FreeportTexas","Puerto_Cortes",115
"Fujairah_Anch","Salalah",1
"Galveston","Houston",4
"Genoa","Barcelona",103
"Genoa","Cagliari",2
"Genoa","Leghorn",2
"Genoa","Tilbury",2
"GeorgetownGUY","KingstonJAM",3
"Gibraltar","Huelva",2
"Gibraltar","KingstonJAM",3
"Gibraltar","New_York",1
"Gibraltar","Port_Everglades",3
"Gibraltar","Savannah",3
"Gioia_Tauro","La_Spezia",4
"Gioia_Tauro","Leghorn",1
"Gioia_Tauro","Naples",73
"Gioia_Tauro","Valencia",2
"Grenada","GeorgetownGUY",4
"Guanta","Chaguaramas",3
"Guaranao_Bay","El_Guamache",1
"Guaranao_Bay","Maracaibo",1
"Guayaquil","Balboa",4
"Guayaquil","Buenaventura",1
"Guayaquil","Taboguilla_Is_Anch",1
"Gulfport","Gulfport",5
"Gulfport","Puerto_Barrios",170
"Gulfport","Puerto_Cortes",83
"Gulfport","Santo_Tomas_de_Castilla",132
"Halifax","Charleston",1
"Halifax","New_York",3
"Hamburg","Antwerp",6
"Hamburg","Bremerhaven",5
"Hamburg","CartagenaCOL",1
"Hamburg","FreeportBHS",4
"Hamburg","Le_Havre",1
"Hamburg","Veracruz",1
"Harwich","Bremerhaven",9
"Harwich","Felixstowe",2
"Havana","Santo_Tomas_de_Castilla",2
"Hong_Kong","Botany_Bay",1
"Hong_Kong","Chiwan",2
"Hong_Kong","Hong_Kong",2
"Hong_Kong","Mawan",88
"Hong_Kong","Nansha",2
"Hong_Kong","Shanghai",1
"Hong_Kong","Xiamen",9
"Hong_Kong","Yangshan",11
"Hong_Kong","Zhoushan",2
"Houston","Altamira",229
"Houston","Busan",18
"Houston","CartagenaCOL",11
"Houston","Caucedo",23
"Houston","Coco_Solo",1
"Houston","FreeportBHS",4
"Houston","FreeportTexas",13
"Houston","Galveston",4
"Houston","Houston",37
"Houston","KingstonJAM",85
"Houston","Le_Havre",7
"Houston","Miami",43
"Houston","Mobile",114
"Houston","New_Orleans",422
"Houston","NorfolkUSA",1
"Houston","Point_Celeste_Anch",3
"Houston","PortsmouthVA_USA",1
"Houston","Progreso",14
"Houston","Puerto_BolivarCOL",1
"Houston","Puerto_Cortes",4
"Houston","Puerto_Limon",34
"Houston","San_JuanPRI",97
"Houston","Santo_Tomas_de_Castilla",180
"Houston","Santos",1
"Houston","Savannah",53
"Houston","Thamesport",1
"Houston","Veracruz",8
"Huelva","Algeciras",2
"Imbituba","Itapoa",15
"Imbituba","Navegantes",6
"Imbituba","Paranagua",2
"Istanbul","Barcelona",4
"Itajai","Pecem",6
"Itajai","Rio_GrandeBRA",2
"Itajai","Santos",32
"Itajai","Santos_Anch",5
"Itapoa","Navegantes",4
"Itapoa","Paranagua",30
