"port","lat","lon"
"12_Mile_Anch",29.832085,-90.000342
"9_Mile_Anch",29.690672,-89.976084
"Abidjan",5.33273,-4.0218
"Acajutla",13.57773,-89.8374
"Algeciras",36.1308,-5.43892
"Altamira",22.444367,-97.886066
"Andres",18.444947,-69.626778
"Antwerp",51.23333,4.46667
"Aqaba",29.51308,34.99603
"Aruba_Anch",12.51888,-70.042134
"Bahrain",26.223051,50.666772
"Balboa",8.96003,-79.5613
"Baltimore",39.27273,-76.5808
"Barbados",13.104582,-59.62804
"Barcelona",10.817,123.55
"Barranquilla",10.96288,-74.75962
"Beaumont",30.07313,-94.0878
"Beilun",29.930595,121.848914
"Belle_Chasse",29.846121,-89.989708
"Berbera",10.43781,44.99735
"Boothville",29.269109,-89.352386
"Botany_Bay",-33.971619,151.216229
"Bremen",53.11043,8.7487
"Bremerhaven",53.56246,8.56157
"Brisbane",-27.47127,153.0149
"Buenaventura",3.89244,-77.07841
"Buenos_Aires",-34.58408,-58.371812
"Busan",35.098158,129.035645
"Cagliari",39.213686,9.103336
"Callao",-12.04873,-77.14381
"Cap_Haitien",19.759316,-72.196272
"CartagenaCOL",10.37847,-75.507343
"Castries",14.01173,-61.004
"Caucedo",18.423983,-69.631641
"Chaguaramas",10.68973,-61.6649
"Charleston",32.78153,-79.9322
"China",39.014101,117.74404
"Chiwan",22.46713,113.8847
"Coco_Solo",9.367301,-79.879129
"Colombo",6.94119,79.8428
"Colombo_Roads",6.94119,79.8428
"Cotonou",6.35532,2.4566
"Cristobal",9.34713,-79.9052
"Cumana",10.475059,-64.185359
"Curacao",12.121575,-68.910398
"Dakar",14.68597,-17.42598
"Damietta",31.43843,31.8261
"Djibouti",11.6065,43.13937
"Douala",4.05673,9.6933
"Dubai",25.24925,55.278879
"Durban",-29.87857,31.0101
"El_Guamache",10.89414,-64.065832
"Everingen",51.301922,3.841305
"Felixstowe",51.95993,1.3421
"Flushing",51.449736,3.591703
"Fort_Lauderdale",26.113363,-80.106772
"Fraser_River_Port",49.203507,-123.085688
"FreeportBHS",26.528898,-78.640293
"FreeportTexas",28.947541,-95.336564
"Fujairah_Anch",25.128622,56.357189
"Galveston",29.27653,-94.835
"Genoa",44.40356,8.911864
"GeorgetownGUY",6.807055,-58.168016
"Gibraltar",36.142051,-5.355961
"Gioia_Tauro",38.428054,15.894941
"Grenada",12.008456,-61.763449
"Guanta",10.25123,-64.58
"Guaranao_Bay",11.680683,-70.209299
"Guayaquil",-2.23237,-79.88674
"Gulfport",30.35453,-89.0873
"Halifax",44.66633,-63.5821
"Hamburg",53.54633,9.9809
"Harwich",51.93653,1.2741
"Havana",23.15246,-81.64938
"Hong_Kong",22.296939,114.169594
"Houston",29.73005,-95.27215
"Huelva",37.264579,-6.944154
"Imbituba",-28.22667,-48.6484
"Istanbul",41.03413,28.9945
"Itajai",-26.90537,-48.655
"Itapoa",-26.069405,-48.613307
"Jacksonville",30.336384,-81.632438
"Jawaharlal_Nehru",18.902267,73.010176
"Jebel_Ali",24.980854,55.049666
"Jebel_Ali_Anch",24.980854,55.049666
"Jeddah",21.48133,39.1805
"Jingjiang",24.814756,118.611903
"Jinhae",35.136264,128.700177
"Jinzhou",40.838765,121.041008
"Karachi",24.83424,66.97856
"Khor_Fakkan",25.34761,56.359412
"KingstonJAM",17.986085,-76.826886
"Kozmino",42.717316,133.025781
"La_Grange",30.233992,-93.248987
"La_Guaira",10.597921,-66.938292
"La_Plata_Anch",-34.85854,-57.895702
"La_Spezia",44.100604,9.822991
"Lake_Charles",30.233992,-93.248987
"Las_Palmas",28.126578,-15.431294
"Le_Havre",49.489928,0.138557
"Leghorn",43.547085,10.308837
"Leixoes",41.18653,-8.7022
"Lisbon",38.710763,-9.158112
"Lome",6.14242,1.28425
"Long_Beach",33.771966,-118.19185
"Los_Angeles",33.770075,-118.265197
"Magnolia_Anch",29.564616,-89.761082
"Malta",35.889436,14.494024
"Mamonal",10.32662,-75.50977
"Manaus",-3.13247,-60.0193
"ManzanilloMEX",19.082985,-104.289363
"Maracaibo",10.634786,-71.621489
"Marsaxlokk",35.81263,14.5439
"Mawan",22.480489,113.877037
"Mazatlan",23.17393,-106.4244
"Melbourne",-37.82427,144.9465
"Miami",25.763769,-80.192223
"Mobile",30.65523,-88.0437
"Monrovia",6.33305,-10.79561
"Montevideo",-34.89977,-56.1958
"Montevideo_Alpha_Zone",-34.89977,-56.1958
"Montreal",45.50173,-73.5481
"Mundra",22.83353,69.7027
"Nakhodka",42.79823,132.8887
"Namibe",-15.19487,12.1411
"Nansha",22.795125,113.537286
"Naples",40.84869,14.272018
"Navegantes",-26.897299,-48.649477
"New_Orleans",29.946076,-90.066114
"New_York",40.709443,-74.009233
"Ningbo",29.87043,121.5537
"Ningbo_Anch",29.87043,121.5537
"Nordenham",53.496338,8.496729
"NorfolkUSA",36.947086,-76.322628
"Oakland",37.811488,-122.30719
"Oranjestad",12.52723,-70.0392
"Osaka",34.64224,135.41767
"Paranagua",-25.50747,-48.508
"Paranagua_Anch",-25.50747,-48.508
"Pecem",-3.549053,-38.817507
"Philadelphia",39.901207,-75.162132
"Piraeus",37.945284,23.644074
"Point_Celeste_Anch",29.602173,-89.829762
"Point_Lisas",10.405509,-61.487613
"Point_Lisas_Anch",10.405509,-61.487613
"Pointe_NoireCOG",-4.792787,11.84665
"Port_au_Prince",18.557392,-72.341473
"Port_Everglades",26.092512,-80.126081
"Port_Muhammad_Bin_Qasim",24.774457,67.333958
"Port_of_Spain",10.652836,-61.517289
"Port_Said",31.256397,32.297837
"PortsmouthVA_USA",36.824803,-76.300825
"Progreso",21.29243,-89.6505
"Puerto_Barrios",15.695327,-88.611125
"Puerto_BolivarCOL",12.236543,-71.965657
"Puerto_Cabello",10.469842,-68.007514
"Puerto_Cabello_Anch",10.469842,-68.007514
"Puerto_Cortes",15.843392,-87.93673
"Puerto_Limon",9.993794,-83.028901
"Puerto_Plata",19.797887,-70.697572
"Puerto_Quetzal",13.927787,-90.779929
"Qianwan",22.352584,113.600491
"Qingdao",36.06263,120.3105
"Rio_de_Janeiro",-22.885856,-43.225644
"Rio_de_Janeiro_Anch",-22.885856,-43.225644
"Rio_GrandeBRA",-32.036699,-52.084912
"Rio_Haina",18.423227,-70.016856
"Rotterdam",51.90793,4.4059
"Salalah",16.93874,53.99858
"Saltpan_Anch",51.511076,0.49634
"Salvador",-12.93997,-38.4939
"Salvador_Anch",-12.93997,-38.4939
"San_AntonioCHL",-33.591375,-71.613967
"San_JuanPRI",18.45175,-66.081406
"San_Vicente",-36.727811,-73.135843
"Santa_Marta",11.24297,-74.212365
"Santo_Domingo",18.482914,-69.892861
"Santo_Tomas_de_Castilla",15.69444,-88.616465
"Santos",-23.92767,-46.3069
"Santos_Anch",-23.92767,-46.3069
"Savannah",32.02353,-81.0558
"Sepetiba",-22.972896,-43.697734
"Shanghai",31.23793,121.4883
"Sheerness",51.439435,0.762545
